"Mainextract_Commentaire","Mainextract_Date"
"Cottage agréable vue sur la mare aux canards, plutôt propre Par contre chaudière deux fois en panne sur 3 jours , 15 degrés à 8h, et pas d'eau chaude le dimanche matin Trace moisissure sur les draps dommage car bonne literie Très mauvaise isolation au...Plus","Date du séjour : octobre 2018"
"Nous sommes venu uniquement pour la journée, je parlerai uniquement de l aquamondo....et que dire... le lieu est vieux, et très mal entretenu. 15 douches sont disponibles dans un mouchoir de poche mais seule une dizaine fonctionne. Évacuation d eau bouchée... peu de toboggans, une...Plus","Date du séjour : octobre 2018"
"Afin de ne pas fracasser pour fracasser, j'aimerais évacuer les (rares) points positifs du séjour: les cottages sont très jolis, les commerçants sont sympathiques, la livraison des repas au cottage fonctionne et lors de l'accrobranche lorsque j'ai été coincé sur la tyrolienne, le moniteur m'a...Plus","Date du séjour : novembre 2018"
"Très bonne expérience: cottage agréable et propre, beau cadre de forêt, bel espace aquatique. Point négatif : trop de chlore dans la piscine ! Il vaut mieux aller à l'Aqua mondo le soir pour éviter l'affluence de la journée.Plus","Date du séjour : novembre 2018"
"C est la troisième fois que je viens en 7 ans, et a chaque fois, je suis un petit peut plus déçu, rien n'est fait pour lutter contre le temps qui passe, les cotages sont dans le jus du début des années 90. On a...Plus","Date du séjour : novembre 2018"
"Pour avoir fait des séjours en sologne et à côté de Poitiers, nous trouvons le center parcs de Normandie beaucoup moins sympa. Pas de toboggan avec des bouées, une rivière sauvage pas très sauvage et dés toboggans niveau bleu donc plutôt tranquilles. Si vous avez...Plus","Date du séjour : novembre 2018"
"Par ou commencer tant les déceptions se sont enchaînées? Lieux vétustes, personnel blasé et triste, attente interminable pour tout et n'importe quoi, chemin boueux a traverser dans le noir complet car pas d'éclairage, dans le cottage, évier bouché, salle de bains glaciale, traces de moisissures...Plus","Date du séjour : novembre 2018"
"Après avoir lu tous les avis negatifs j'etais vraiment tres inquiète J'ai été toute suite soulagée en entrant dans mon cottage tip top, à 2 pas du dome, l'aquamundo est génial, le cadre est reposant et magnifique Tout est très propre Rien à redire, nous...Plus","Date du séjour : octobre 2018"
"Nous entendions régulièrement parler de ce lieu des fois positivement et des fois négativement. Avant de réserver , nous avons visité le site internet cela nous semblait superbe! Nous avons été au final très déçu par notre séjour. L’accueil est très impersonnel, il faut se...Plus","Date du séjour : octobre 2018"
"Plus","Date du séjour : octobre 2018"
"Globalement satisfaits de ce week-end en famille (2 adultes et 2 enfants âgés de 4 ans et 20 mois)Attention cependant à bien réserver en amont les activités souhaitées, certaines peuvent être déjà indisponibles en période de week-end. Il faut aussi penser à garder sur soi...Plus","Date du séjour : octobre 2018"
"Toujours le même plaisir d'aller à Center Parcs. En Normandie, la nature est belle surtout aux couleurs de l'automne, les cottages Pagode très agréables. Mais les infrastructures (la piscine) sont vieillissantes, les cabines en mauvais état, les bracelets d'un autre âge...Plus","Date du séjour : octobre 2018"
"Center parc reste Center parcs et celui ci était le premier. Etant en travaux il est difficile de se prononcer sur le résultat final, cela dit le lieu reste agréable. Quelques bémols cependant: -attention certains cottages ont une literie bien fatiguée... -pas de data, réseau...Plus","Date du séjour : octobre 2018"
"Nous avons séjourné en famille au Center Parc des Bois Francs du 19/10/2018 au 22/10/2018. Pour nous assurer un niveau de prestation minimum, nous avions prix un cottage VIP. Grosse déception sur la qualité de cette prestation, essentiellement à cause de la vétusté du logement...Plus","Date du séjour : octobre 2018"
"Mieux apprécié par les parents que par les ados, car ils no'nt pas de lieu de regroupement. L'Aquamundo est très bien ainsi que le dôme. Cottage agréable, l'environnement avec les étangs et les canards, très silencieux est agréable.","Date du séjour : octobre 2018"
"Plus","Date du séjour : octobre 2018"
"Plus","Date du séjour : octobre 2018"
"Plus","Date du séjour : octobre 2018"
"Alors que nous n'avions jamais fait de center parc, nous partons à peine de 2h de chez nous...j'ai aimé loué un vélo et avoir l'impression d'être très loin de chez moi! Les cottages 4 personnes sont très fonctionnel et propre. De nombreuses activités à faire...Plus","Date du séjour : octobre 2018"
"Quelques vétustes sur les casiers de piscinePas beaucoup d’animaux dans le dôme ou la ferme Pas assez d’activité de plein air pour les petits et pas assez de jeux en libre service dans la salle de jeux.Les parcs belges sont mieux et moins chers","Date du séjour : octobre 2018"
"Plus","Date du séjour : octobre 2018"
"Plus","Date du séjour : octobre 2018"
"Pour avoir fait des séjours dans d’autres Center Parc (3 forêts, sologne et l’ailette) nous avons été déçus par celui-ci... Installations vieillottes, plusieurs coupures d’électricité, quelques défauts dans le cottage (lumière qui ne fonctionne pas, fenêtre qui ne ferme pas...)température de la piscine aléatoire, nous...Plus","Date du séjour : octobre 2018"
"","Date du séjour : octobre 2018"
"Nous venons de passer 5 jours entre amis avec enfants. Le cottage 260 est super bien placé : pas besoin de locations de vélos !!! Le coutage est un peu vieillot, le ménage pas impeccable ( verre cassé sous le buffet et mouchoirs sous le...Plus","Date du séjour : octobre 2018"
"Avec tous les avis nous avions peur en arrivant la bas ! Mais non piscine propre malgré les différents avis mais les feuilles dans la piscine normal vu que c'est tout des fleurs naturelles eau chaude c'est juste génial ! cottage propre séjour super agréable...Plus","Date du séjour : octobre 2018"
"Plus","Date du séjour : octobre 2018"
"Je suis venu en famille passer une journée au parc aquatique, et je dois avouer que nous sommes fort déçus de cette journée. En effet, outre le vieillissement des infrastructures, la température à l'intérieur du dôme et des bassins n'était pas au RDV !! Par...Plus","Date du séjour : octobre 2018"
"Plus","Date du séjour : octobre 2018"
"Plus","Date du séjour : octobre 2018"
"","Date du séjour : octobre 2018"
"Nous avons séjourné 4 jours en cottage VIP : Nous nous attendions à des cottages neufs ou bien entretenus. Hélas, la terrasse était cassée à de multiples endroits donc dangereuse. Multitude de chats venant sur celle-ci. Les vitres côté terrasse fêlées... Une prise de courant...Plus","Date du séjour : octobre 2018"
"Nous revenons d un super weekend dans le Center Parcs les Bois Francs. Nous avons réservé un cottage nouveau design pour 6( 5 adultes et deux enfants dont 1 bb). Équipé de tout confort. Literie super. Très propre. Équipements dernier cri. Pratique la chaise haute...Plus","Date du séjour : octobre 2018"
"Séjour en famille reposant. Cottage premium très confortable. Très bien insonorisé. Même avec un petit de moins de 4 ans il y a des choses à faire. Cadre très agréable. Cottage propre mais pas nickel (traces sur l’interrupteur des wc, miettes sur le plan de...Plus","Date du séjour : octobre 2018"
"Personnel parle pas, même pas bonjour , parquet abîmé , radiateur chambre principal ne foctionne pas , travaux à côté donc bruyant, sauna pas de notice , bungalow n°540 , bain a remous au niveau piscine ne fonctionne pas et sale .","Date du séjour : octobre 2018"
"","Date du séjour : octobre 2018"
"","Date du séjour : octobre 2018"
"","Date du séjour : octobre 2018"
"Plus","Date du séjour : octobre 2018"
"Nous venons de séjourner au Center Parcs des Bois Francs, parc agréable, cottage premium conforme à nos attentes. Grosse déception concernant l'aqua mundo, vétuste et sale, carrelages cassés, traces de rouilles sur les carrelages, feuilles mortes dans la piscine, manque d'entretien sur les infrastructures, petite...Plus","Date du séjour : octobre 2018"
"Très bel endroit bien arboré et les couleurs d'automne rendaient le séjour magnifique. On a pu manger dehors en terrasse mi octobre. Le logement exposé au sud avec ses nombreuses baies vitrées offre une température très agréable. Literie très confortable. Cottage VIP loué hors vacances...Plus","Date du séjour : octobre 2018"
"Plus","Date du séjour : octobre 2018"
"Si j'avais lu les avis je ne serais jamais aller dans ce center parc ! Nous avions un cottage VIP dans la zone 7 et c'était parfait ! Cottage tres sympas tout le confort nécessaire. La soirée dansante a bien eu lieux jusqu'à 0h !...Plus","Date du séjour : octobre 2018"
"Plus","Date du séjour : octobre 2018"
"Avant de me rendre à centerparc je lis les avis et la c'est la panique au vue de tous les mauvais commentaires... j'arrive donc sur les lieux avec une sacré appréhension. Et la surprise quand nous arrivons sur place, nous trouvons un parc très bien...Plus","Date du séjour : octobre 2018"
"Plus","Date du séjour : octobre 2018"
"Nous sommes partis en famille avec nos 2 enfants, et on s'est régalé de notre séjour.Environnement, activité, restauration, piscine, services...... tout est fait pour se sentir bien.A faire et a refaire en famille ou amis.","Date du séjour : octobre 2018"
"Plus","Date du séjour : octobre 2018"
"Plus","Date du séjour : octobre 2018"
"Plus","Date du séjour : octobre 2018"
"Pour une première fois à center Parcs ( Bois Francs ) , se fut un très bon séjour en famille et amis. Encore merci pour ce week - end très relaxant et dépaysant. Même en tant enceinte on profite virement dune grande partie des activitées.Plus","Date du séjour : octobre 2018"
"3e année que nous y passons un week end de 4 jours avec nos enfants et c'est un vrai bonheur. Les c ottages sont superbes et les différentes installations sont magnifiques. les enfants se sont amusés et nous aussiPlus","Date du séjour : octobre 2018"
"Plus","Date du séjour : octobre 2018"
"Plus","Date du séjour : octobre 2018"
"Plus","Date du séjour : octobre 2018"
"Tous les avantages d'un Center Parcs : cottage individuel, cadre calme et boisé, piscine (AquaMundo) chauffée avec de grands horaires d'ouverture, parc de jeux pourles enfants, mini-ferme pédagogique. En revanche, le parc est vieillissant, il présente des marques d'usure : peinture écaillée dans le cottage...Plus","Date du séjour : octobre 2018"
"Nous avons passé 1 journée à aquamundo, malheureusement il est loin du niveau de celui de center parc bois aux daims. La rivière sauvage où l'on est obligé de pousser avec ses mains pour essayer d'avancer, les toboggans ...pour ceux qui aiment les sensations ...ce...Plus","Date du séjour : octobre 2018"
"Bonjour a tous,comme beaucoup je lis les avis avant d'aller dans un endroit....Et stupéfaction quand je lis les avis sur Center parc en Normandie...Je réserve mais appel pour confirmation de la propreté du site...évidemment on me dit ke tout est propre mais une partie en...Plus","Date du séjour : octobre 2018"
"Nous avons passé deux jours à l'hôtel fantôme, puisqu'il n'y a personne à la réception, qui est à rénové en urgence. Très mal indiqué pour accéder à l'hôtel quand on arrive à 20h car on vous remet la clé dans une pochette en vous donnant...Plus","Date du séjour : octobre 2018"
"Bonjour, Nous revenons de 5 jours en Normandie où nous avons dormi dans 3 lieux différents et l'hôtel de center parcs ""Les bois francs"" est de loin l'hebergement le plus mauvais qu'on a fait. Habitués de center parcs ""Hauts de bruyères"" et c'est franchement la...Plus","Date du séjour : octobre 2018"
"Plus","Date du séjour : octobre 2018"
"Connaissant ce parc depuis son ouverture, j'ai vu l'évolution et aussi les rénovations. Cette année j'ai eu la chance d'avoir un bon cottage mais l'année dernière ce n'était pas terrible à l'hôtel dont nous attendons toujours les rénovations. Je constate que les commentaires sur ce...Plus","Date du séjour : octobre 2018"
"Plus","Date du séjour : octobre 2018"
"Nous avons passés une petite semaine en famille dans ce domaine, on a été très satisfaits du cottage au nouveau design, les activités aquatiques sont vraiment au top, on a pris beaucoup de plaisir et reviendrons sans problème.Plus","Date du séjour : octobre 2018"
"Parc non éclairé la nuit mini golf pas entretenu resto le cocoon belle carte mais plat pas du tout approprié a ce qui était indiqué et pour finir chambre d'hôtel vieille pas entretenue tâche sdb moquette drap pas changé robinet qui ne tient pas Quelle...Plus","Date du séjour : octobre 2018"
"","Date du séjour : octobre 2018"
"Vu enorme caffard (de la taille de la moitié d un index!)dans le restaurant jungle circus dans le dome...ça nous a gaché notre repas!!le personnel dit etre au courant mais aucun geste commercial.disent qu ils font des traitements mais que les betes resistent (quelles consequences...Plus","Date du séjour : octobre 2018"
"Parc et piscine très sympa, même pour ceux ne sachant pas vraiment nager, activité et soirée bien malgré la période (octobre)Cottage qui a gâché une partie de nos vacances.. pas de chauffage ni eau chaude.. sauna en panne qui a nécessité d'être remplacer..Plus","Date du séjour : octobre 2018"
"Cottage très confort, plaisir d'avoir la nature au pied du logement . Mais beaucoup trop d'activités payantes et pas très abordables à 4. Prévoir un budget si on veut que ses enfants profitent. Très calme hors saison mais beaucoup d'agitation et de bruit le week-endPlus","Date du séjour : octobre 2018"
"On apprécie toujours autant le parc pour 4 jours de détente en famille depuis plusieurs années. Les cottages sont en travaux et heureusement car le parc est vieillissant, notre logement était super, la rénovation vraiment chouette avec un ""new design"" qui change tout par rapport...Plus","Date du séjour : octobre 2018"
"Plus","Date du séjour : octobre 2018"
"Nous recommanderons très certainement CENTER PARCS à nos amis et notre famille.Nous avons aimé le petit déjeuné au JUNGLE CIRCUS c'était plus conviviale que l'année dernière a la résidence hôtelière.Plus","Date du séjour : octobre 2018"
"Très bon séjour à Center parcs Les Blois Francs. Cottage Premium parfait pour 8 personnes avec tout le nécessaire. Piscine correcte avec de bonnes attractions pour occuper les petits et les grands ! Domaine forestier environnant très agréable pour promenade ou footing. Ce center parc...Plus","Date du séjour : octobre 2018"
"Plus","Date du séjour : octobre 2018"
"Plus","Date du séjour : octobre 2018"
"Toujours aussi agréable et nature, complexe bucolique avec vélos et nombreuses activités de loisirs. Cottage rénové très bon état.seul bémol des petites imperfections qui pourraient être entretenus régulièremen.Plus","Date du séjour : octobre 2018"
"A l'arrivée, après plusieurs heures de route on vous remet vos clés sans autre accompagnement. Arrivés dans le cottage grosse déception: le logement est vieillot, sale (l'aspirateur n'a pas été passé et des tâches de café au sol sont encore incrustées dans la chambre d'adulte),...Plus","Date du séjour : octobre 2018"
"Nous avons séjourné à 4 en mid week dans un vip pagode rénové (n°916). Petites finitions à revoir. Compter 15min à pied du dôme mais bon on est en vacances donc on a le temps !!! Séjour plaisant surtout en cette arrière saison. Peu de...Plus","Date du séjour : septembre 2018"
"Plus","Date du séjour : septembre 2018"
"Nous avons séjourné 4 jours à center parcs, nous avons décidé de séjourné dans leur hôtel car nous étions que deux mais nous avons fait une grave erreur ! Après des difficultés à trouver l'hôtel car il n'y a pas beaucoup de panneaux et pas...Plus","Date du séjour : septembre 2018"
"Baignoir bouché , lave-vaisselle pas fixé et dangereux( il est tombé sur mes pied),pas de serviette , wifi chers (5€ l'heure, 15€ la journée et 40€ le week-end). Hygiène douteuse (canapé très sale)pas assez de prise et pas de lumière.Plus","Date du séjour : septembre 2018"
"Ca fessait 3 ans que nous n'étions pas venue et c'est toujours un plaisir de venir avec sa famille. Le prix n'est pas donné mais ont s'amuse bien dans l'eau. Les ballades.Dommage que la ferme pédagogique soit aussi loin maintenant....et lors du bowling il n'y...Plus","Date du séjour : septembre 2018"
"J'ai voulu louer un cottage VIP pour un weekend sympa en famille et bien quelle erreur! Cottage sale, moisissure un peu partout, pas d'eau chaude ni de chauffage et impossible de profiter de la piscine car trop de monde et trop froid. Service client juste...Plus","Date du séjour : septembre 2018"
"Plus","Date du séjour : septembre 2018"
"Cadre sympa même si certaines activités ne sont pas forcément ‘abordables’ pour tout le monde ! Seul bémol pour moi.Sinon ambiance cool et reposante, ça permet de déconnecter un peu du rythme du travail Cordialement","Date du séjour : septembre 2018"
"Plus","Date du séjour : septembre 2018"
"Tres bon sejour en famille .Activites sportives avec du choix ,confort du chalet , et personnel tres accueillants.Anticipez votre sejour afin de profiter d un prix interessant.Je recommande les bois francs","Date du séjour : septembre 2018"
"Séjours de 4 jours agréables Activités tranquille équipe super juste le paintball hs les jeunes déçu mais rembourser . Piscine propre toboggan cool Rivière sauvage a faire Restaurant et bar nickel les employés agréable et souriant. BowlingPlus","Date du séjour : septembre 2018"
"Il y avait des mégots sur le balcon et la lampe du balcon était cassé et une des prises au niveau du bureau ne fonctionnait pas. Un des ascenseur était hors service et l'entre de l'hotel faisait laissé a l'abandon. Les arbres devant le lac...Plus","Date du séjour : septembre 2018"
"Plus","Date du séjour : septembre 2018"
"C'est la première fois que je découvre un center parc et ya du bon et moins bon. Coté avantages: - L’accueil est pratique style drive avec distribution des informations et des clés à même dans la voiture. - Cottage de 6 personnes (n°660) qui était...Plus","Date du séjour : septembre 2018"
"Plus","Date du séjour : septembre 2018"
"","Date du séjour : septembre 2018"
"","Date du séjour : septembre 2018"
"Cela fait 3 ans de suite que nous rejoignons un groupe d'amis pour profiter du calme de la foret. Quelques petits problèmes dans le cottage vite réglés par les équipes de maintenance. Certains cottages nécessitent un rafraichissement. Le cadre vu sur le lac est agréable....Plus","Date du séjour : septembre 2018"
"Ce week end du 29 septembre j étais témoin à un mariage à center parcs les bois francs en Normandie .... c était splendide du début à la fin ... la salle était prête à notre arrivée et maginifique, le repas était très bon ......Plus","Date du séjour : septembre 2018"
"Le ménage n'avait pas été fait. Nous avons retrouvé du chewing-gum mâché sous le canapé, des cheveux sur les oreillers, un bain à remous sale et entartré que nous n'avons finalement pas utilisé.Le chemin jusqu'au centre du parc n'était pas éclairé et à partir d'une...Plus","Date du séjour : septembre 2018"
"Cadre Calme dans la foret . Cottage Confortable , bien agancer . chaleureux. Reposant. Piscine très sympa. De bon jeux pour les enfants.Détente avec les enfants. Activité amusante Personnel AccueillantPlus","Date du séjour : septembre 2018"
"Je trouve l endroit très chère sans aucune nouveautés. On devait passé la journée on est resté 2 h. L entrée est à 35e par personne pour seulement 5 toboggans aucune nouveautés depuis 1988. Nous sommes heureux de pas avoir réservé un cottage car on...Plus","Date du séjour : septembre 2018"
"","Date du séjour : septembre 2018"
"Ma fille a passé avec sa famille des vacances au center parc de Moselle qui lui a beaucoup plu. Du coup elle a loué pour nous tous 6 personnes un cottage dans ce center parc. Nous n'avons eu que des déboires : activités enfants annulées,...Plus","Date du séjour : septembre 2018"
"déçu aucune attraction car reservé pour un séminaire les surveillant de la piscine ouvre les portes de secours bloqué par un caillou il fait un courandaire et il vous regarde en souriant et vous dit si vous avez froid vous pouvez fermé la porte a...Plus","Date du séjour : septembre 2018"
"","Date du séjour : juillet 2018"
"Expérience médiocre dans un cottage dit VIP. Nous nous sommes retrouvés à gérer à place de Center Parc: - une panne de chaudière donc pas de chauffage ni d’eau chaude sanitaire: ayant un tout jeune bébé c'est impossible de s'en passer - les moisissures sur...Plus","Date du séjour : juillet 2018"
"J'ai passé quelques jours et j'avoue je suis déçu 😥 horriblement cher tous est payant malgré que nous avons payé très cher un hôtel vetuste aucune activité gratuite les restos sont bon mais faut compter 50 euros minimum pour 2 bref il faut avoir pas...Plus","Date du séjour : juillet 2018"
"","Date du séjour : juillet 2018"
"","Date du séjour : juillet 2018"
"Nous arrivons de nuit au cottage un peu inquiets car les avis n'annoncent rien de bon. A notre arrivée au cottage nous découvrons ce que j'appelle un bungalow très vétuste et non entretenu au niveau de l'exterieur (moisissures et saleté jamais nettoyée ni repeint, un...Plus","Date du séjour : septembre 2018"
"Excellent dépaysement avec un personnel comprehensif a l'écoute et réactif. Le respect la tolerance et la gentillesse y sont présent que ce soit le personnel ou les vacanciers ce qui est trés rare de nos jours.Toujours un plaisirs de nombreuses activités diversifiées pour les enfants...Plus","Date du séjour : septembre 2018"
"Un véritable cauchemar ! Un personnel dédaigneux qui ne prend pas en considération les clients et se moque complètement de l'image qu'elles donnent de l'enseigne Center Parcs. Les draps sont fournis maintenant : quelle nouvelle ! Housse de couettr manquante réclamée à 17h, fournie le...Plus","Date du séjour : septembre 2018"
"Déjà venu plusieurs fois dans ce parcs mais laisse à désiré avec le temps. L'entretien fait dans les cottages laisse à désiré, retrouver des verres en plastiques sous les canapés, le bain à bulle ne fonctionner pas, la terrasse manque des briques car avoir juste...Plus","Date du séjour : septembre 2018"
"Week end au bois francs. Centre vieillissant , qui commence à manquer d’attractivité par rapport à d’autres center parcs. Séjour néanmoins agreable , cottages agréables en train d’etre Rénovés. Mais je choisirai un autre lieu si je reviens.","Date du séjour : septembre 2018"
"","Date du séjour : septembre 2018"
"sejour agreable malgré l eloignement de la bulle.cottage fonctionnel.Aquamundo a besoin d un rafaichissement et de nouvelles activités. le parc est agreable mais un peu trop sauvage a mon gout.Un peu d entretien autour des cottages ne serait pas du luxe.","Date du séjour : septembre 2018"
"centre à refaire entièrement, Aucun entretien des cottages et de la forêt, des sentiers, bitume cloqué, fissuré, défoncé, odeur pestilentielle, dôme en très mauvais état !c'est une honte de louer de tels cottages ! les jeux pour enfants dans le dôme date d'avant la guerre...Plus","Date du séjour : septembre 2018"
"Nous avions réservé un cottage ""premium"" pour 5 adultes pour 4 jours. A l'arrivée,aucune indication données sur le lieu de l'hébergement,nous sommes livrés à nous-mêmes. Nous découvrons notre cottage: le cottage n'était pas conforme à la réservation, nous avions réserve un ""premium"" et avons eu...Plus","Date du séjour : septembre 2018"
"Nous avons séjourné avec des amis en juillet 2018. Cottage vétuste malgré l indication du nouveau design, même dangereux pour les enfants car des tables et chaises étaient cassées. Très sale et mal entretenu. Extérieur même pas nettoyé. Aquamundo très sale, vestiaire catastrophique. Nous avons...Plus","Date du séjour : septembre 2018"
"Toujours aussi agréable de séjourner au domaine ""Les Bois-Francs"" où dans ce nid de verdure, tout est mis en oeuvre pour se ressourcer et se détendre. Le complexe aquatique de taille et une multitude d'activités vous attendent. Bien que de nombreux efforts de rénovation soient...Plus","Date du séjour : septembre 2018"
"Très déçue de mon séjour à Center Parcs... Nous avions pris une chambre à l'hôtel avec, comme annoncé sur le site, ""vue sur le lac"". La chambre est vétuste (avec toutefois un énorme lit que j'ai trouvé très confortable), notre moquette a des traces de...Plus","Date du séjour : septembre 2018"
"Plus","Date du séjour : septembre 2018"
"Chambres et installations vétustes. Le choix de restauration est plus que limité. Le buffet du petit dejeuner est d une qualité médiocre. 15euros pour trouver un cafard mort sur l etal des boissons c est cher payé. Mettre les qualificatifs ""superbes, luxueux ou magnifique ""...Plus","Date du séjour : septembre 2018"
"Suite à de longs mois de galère professionnelle et de problèmes de santé importants, mon époux et moi-même avec notre ado avions décidé de fêter Noël 2018 à Center Parc Les Bois Francs. Pour y être aller plusieurs fois les années précédentes et aimer ce...Plus","Date du séjour : septembre 2018"
"En famille 19 adultes et enfants tous o' c'est amusés le bémol sa manque de rénovation d'entretien. Le bar de la piscine est fermée le dimanche. Dommage car c'est un super endroit mais pas entretenu o' ne reviendra pas à celui la c'est surPlus","Date du séjour : septembre 2018"
"Logement en appartement. Deuxième étage . Surprise en rentrant ds la chambre... moquette , couleur jaune passé sur les murs. Salle de bain horrible! Au chaude qui reste à désirer... Il faut vraiment rénover les appartements car c'est très Vieux , aucun style. Le plus...Plus","Date du séjour : septembre 2018"
"Plus","Date du séjour : septembre 2018"
"odeur désagréable dans le cottage, nous avons opté pour un cottage vip, le sauna qui ne fonctionne pas, problème qui à était dis mais non résolue, aqua Mundo vieillissant, pas très propreen ce qui concerne espace vert : très propre aucun papier au sol Bravo...Plus","Date du séjour : septembre 2018"
"Le prix est très élevé par rapport à la Qualité des prestations proposées. Le personnel est très peu sympathique. Beaucoup d'attente pour le services des plats dans les restaurants. Panneaux de direction totalement absent pour les voiturettes.","Date du séjour : septembre 2018"
"Cela fait maintenant plus de 15 ans que nous venons avec le CE de mon époux et aussi sans. Center parcs du bois aux francs est proche de chez nous, moins de 2 heures de route. On a fait les hauts de bruyère et le...Plus","Date du séjour : août 2018"
"Plus","Date du séjour : août 2018"
"Séjour très décevant. Hôtel vétuste, digne d’un film d’horreur. Nous y avons séjourné car nous avons reçu un bon cadeau. Il n’y avait pas d’équipements pour notre bébé (pourtant précisé dans la réservation). Nous avons dû batailler pour avoir un lit parapluie et ce dernier...Plus","Date du séjour : août 2018"
"Arrivés dans un cottage « premium » insalubre et vieillot, moisissures et odeur d’humidité avec auréoles au plafond, nous avons fait venir un agent de maintenance qui a constaté une fuite d’eau au niveau du toit terrasse. Nous avons donc eu droit à un cottage...Plus","Date du séjour : août 2018"
"Nous sommes des fidèles des bois francs mais cette fois ci c était bel et bien la dernière fois!! À l arrivée dans le cottage, nous constatons qu il est dans un état de saleté écœurant : portes de placard graisseuses, confiture séchée sur les...Plus","Date du séjour : août 2018"
"","Date du séjour : juin 2018"
"","Date du séjour : juin 2018"
"Plus","Date du séjour : juin 2018"
"Plus","Date du séjour : juin 2018"
"Nous avons passé 4 jours en juin à center Parc et depuis je m'ennuie dans toutes les piscines ! C'était génial, nous avons été supers bien accueillis, partout. C'était reposant, tranquille. Je conseille vivement pour se retrouver, se detendre","Date du séjour : juin 2018"
"Comme toujours à Center Parc, un super séjour, très reposant, le dépaysement est assuré. Nous avons opté pour la pension complète que l’on a trouvé avantageux !! Je recommande vivement que se soit en couple, en famille ou entre amis !!!","Date du séjour : septembre 2018"
"Nous sommes partis en couple 3 nuits, le cadre est très naturel en pleine forêt idéale pour les sportifs qui aiment la nature. Le logement pagode premium rénové était correct, seul problème rencontré avec la baignoire bouillonnante qui n avait pas été purgée auparavant et...Plus","Date du séjour : septembre 2018"
"Premier séjour chez Center Parcs en famille, nous nous faisions une joie.Grosse déception l'hôtel est dans un état lamentable, à l'abandon, aucune personne à la réception, parties communes dégradées et chambres délabrées ... Attention tristesse assuréeLa piscine est elle aussi dans un triste état traces...Plus","Date du séjour : septembre 2018"
"Plus","Date du séjour : septembre 2018"
"","Date du séjour : septembre 2018"
"Un endroit d'une saleté ahurissante (bouteilles de bières et sopalin usagé à l'entrée du cottage, batterie de véhicule à la porte, détritus dans tout le parc....), des cottages dans lesquels le ménage n'a pas été fait (insectes écrasés au mur et matière fécale à l’extérieur...Plus","Date du séjour : septembre 2018"
"Un séjour en famille inoubliable! Déconnexion assurée. Activités et baignades au quotidien dans un cadre verdoyant et sécurisé. Un environnement adapté même aux plus jeunes. A refaire très très vite !!","Date du séjour : septembre 2018"
"Très beau parc. Bel accueil . Parc Aquatique très propre et amusant.Très bon moment familial , avec tous ce qu'il faut pour passer un bon séjour ( NAture, boutique, restaurant, air de jeux )... etc..","Date du séjour : septembre 2018"
"Cottage parfait et personnels Super! Voilà les seuls points positifs. Après avoir lu certains commentaires j était dubitative mais je l ai vu par moi meme: dôme vieux seulement 3 ou 4 tobbogans( en perdition) peinture qui tombe,porte ouverte donc il fait froid,piscine sauvage très...Plus","Date du séjour : septembre 2018"
"","Date du séjour : septembre 2018"
"Franchement si vous rêver d'un séjour serein au milieu de la nature, allez ailleurs, ce center parc est vieux, délabré, les vestiaires pas propres et les casiers tombent en panne. Les cottages pas insonorisés, certains n'hésitent pas à laisser leur voiture toute la durée du...Plus","Date du séjour : septembre 2018"
"Une employée à votre arrivée qui ne vous écoute pas, qui s'impatiente, qui vous le fait sentir. Pas d'information sur le plan du site.Du bruit toute la journée (et dire qu'on m'a demandé de changer de lieu pour le même soucis) Une couette qui sent...Plus","Date du séjour : septembre 2018"
"Personne a l’accueil de l’hôtel pour nous accueillir, endroit un peu vieillot et mal entretenue... il y aurait besoin d’un bon rafraîchissement que se soit l’hôtel où le parc en général. Dommage car le cadre est très sympathique et je pense qu’ils pourraient faire plus...Plus","Date du séjour : septembre 2018"
"Le ménage n'avait pas été fait dans notre cottage, nous avons donc réclamé et 2 personnes sont venus nettoyer en moins de 2 min. Conclusion, 1h de ménage derrière. Notre cottage est très vieux (problème de frigo, d'eau chaude...) mais cela serait passé s'il avait...Plus","Date du séjour : septembre 2018"
"vacances reposantes center park reste l endroit ou l on peut venir en famille pour ce retrouver accueil tres sympa cottage de tres bonne qualite dome super cool restaurant super agreable il y a tout ce qu il faut pour passer un agreable sejour personnel...Plus","Date du séjour : septembre 2018"
"Cottate agréable et confortable, activités intéressantes (gratuites comme payantes), très bonne literie.Par contre Wifi défectueux, payé 25€ pour une connexion inexistante, j'ai fait une demande de remboursement, pas de réponse du service client, cela fait plus d'une semaine","Date du séjour : septembre 2018"
"Plus","Date du séjour : septembre 2018"
"Une honte ! Un cottage dégoûtant, après avoir râlé à l’accueil, intervention pour le ménage : des personnes dépitées en vu du travail à faire ( donc pas fait jusqu’au bout ) pas de réponse du service client, le service d’assistance donnent des faux numéros......Plus","Date du séjour : septembre 2018"
"Plus","Date du séjour : septembre 2018"
"Plus","Date du séjour : septembre 2018"
"Nous avons passé trois bonnes journées en couple à CenterParcs où nous avons profité principalement de la piscine pendant notre séjour (3 nuits). Nous passions deux à trois heures à l'Aqua Mundo chaque jour. Le cottage était bien entretenu et bien équipé. Petit bémol concernant...Plus","Date du séjour : septembre 2018"
